date,description,amount,category
2025-02-08,Mortgage Payment,-1793.0,Housing
2025-02-08,Home Insurance,-2128.2,Housing
2025-02-08,Home Insurance,-1768.26,Housing
2025-02-08,Jiffy Lube,-29.17,Transportation
2025-02-08,Gym Membership,-59.51,Entertainment
2025-02-09,Physical Therapy,-71.43,Health
2025-02-09,Airbnb,-1298.02,Travel
2025-02-09,Eye Doctor,-87.96,Health
2025-02-09,Medical Clinic,-132.65,Health
2025-02-09,Target,-145.94,Groceries
2025-02-09,Apartment Maintenance,-2062.46,Housing
2025-02-09,Lowes,-57.85,Shopping
2025-02-10,New York Times,-7.04,Subscriptions
2025-02-10,Comcast Internet,-89.99,Utilities
2025-02-10,City Water Department,-126.95,Utilities
2025-02-10,Bank Interest,3474.02,Income
2025-02-10,CVS Pharmacy,-180.15,Health
2025-02-11,AMC Theaters,-45.41,Entertainment
2025-02-11,H&M,-140.45,Shopping
2025-02-11,Whole Foods Market,-135.53,Groceries
2025-02-11,Albertsons,-127.47,Groceries
2025-02-11,Staples,-72.16,Shopping
2025-02-11,eBay,-231.75,Shopping
2025-02-11,Rent Payment,-2365.37,Housing
2025-02-12,Amazon Prime,-14.99,Subscriptions
2025-02-12,Chipotle Mexican Grill,-52.25,Dining
2025-02-12,City Water Department,-67.47,Utilities
2025-02-13,DoorDash,-29.4,Dining
2025-02-13,Chevron,-28.74,Transportation
2025-02-14,Health Insurance Premium,-108.46,Health
2025-02-14,American Airlines,-1294.49,Travel
2025-02-14,Costco,-27.13,Groceries
2025-02-14,LinkedIn Premium,-56.81,Subscriptions
2025-02-14,Costco,-161.31,Groceries
2025-02-15,Verizon Wireless,-75.0,Utilities
2025-02-15,Whole Foods Market,-159.51,Groceries
2025-02-15,Payroll Deposit - Company Inc,3500.0,Income
2025-02-15,Nintendo eShop,-38.32,Entertainment
2025-02-15,Hilton Hotels,-1377.12,Travel
2025-02-16,City Water Department,-71.3,Utilities
2025-02-17,Fitness Center,-178.03,Health
2025-02-17,Southwest Airlines,-1315.38,Travel
2025-02-17,Enterprise Rent-A-Car,-706.44,Travel
2025-02-18,Best Buy,-325.45,Shopping
2025-02-18,Property Tax,-2431.35,Housing
2025-02-18,American Airlines,-553.43,Travel
2025-02-18,Nintendo eShop,-46.41,Entertainment
2025-02-18,Comcast Internet,-204.67,Utilities
2025-02-18,Adobe Creative Cloud,-38.95,Subscriptions
2025-02-19,Student Loan Payment,-3919.17,Education
2025-02-19,Target,-58.22,Shopping
2025-02-19,Publix,-44.19,Groceries
2025-02-19,Publix,-77.24,Groceries
2025-02-19,Enterprise Rent-A-Car,-1235.7,Travel
2025-02-20,Lyft,-55.75,Transportation
2025-02-20,Coursera,-3605.64,Education
2025-02-20,Stop & Shop,-61.43,Groceries
2025-02-20,Adobe Creative Cloud,-54.99,Subscriptions
2025-02-20,Car Wash,-11.28,Transportation
2025-02-20,Health Insurance Premium,-51.55,Health
2025-02-21,Auto Repair Shop,-70.4,Transportation
2025-02-21,Student Loan Payment,-4066.17,Education
2025-02-21,Airbnb,-1389.67,Travel
2025-02-21,Southwest Airlines,-1012.89,Travel
2025-02-22,Payroll Deposit - Company Inc,5594.19,Income
2025-02-22,Food Lion,-71.67,Groceries
2025-02-22,Food Lion,-56.78,Groceries
2025-02-22,Health Insurance Premium,-73.6,Health
2025-02-22,Starbucks,-31.27,Dining
2025-02-23,University Tuition,-386.68,Education
2025-02-23,Whole Foods Market,-152.58,Groceries
2025-02-23,Olive Garden,-36.66,Dining
2025-02-24,Medical Clinic,-83.43,Health
2025-02-24,Electric Company,-227.77,Utilities
2025-02-24,Southwest Airlines,-816.75,Travel
2025-02-24,Chipotle Mexican Grill,-11.82,Dining
2025-02-25,T-Mobile,-102.57,Utilities
2025-02-25,Home Insurance,-1413.78,Housing
2025-02-25,Amazon Prime Video,-34.85,Entertainment
2025-02-25,Nintendo eShop,-35.98,Entertainment
2025-02-25,Hertz Rental Car,-581.16,Travel
2025-02-25,Amazon Prime Video,-31.97,Entertainment
2025-02-26,HBO Max,-36.09,Entertainment
2025-02-27,H&M,-205.63,Shopping
2025-02-27,LinkedIn Premium,-43.85,Subscriptions
2025-02-27,Zara,-25.26,Shopping
2025-02-28,Prescription Refill,-125.68,Health
2025-02-28,Microsoft 365,-65.84,Subscriptions
2025-02-28,Steam,-43.29,Entertainment
2025-02-28,PlayStation Store,-21.11,Entertainment
2025-02-28,T-Mobile,-137.86,Utilities
2025-03-01,Jiffy Lube,-53.83,Transportation
2025-03-01,Spotify Premium,-9.99,Entertainment
2025-03-01,Rent Payment,-1200.0,Housing
2025-03-01,Metro Card,-14.44,Transportation
2025-03-01,Netflix,-15.99,Entertainment
2025-03-01,Payroll Deposit - Company Inc,3500.0,Income
2025-03-01,Gym Membership,-45.0,Entertainment
2025-03-02,Hilton Hotels,-404.48,Travel
2025-03-02,Target,-133.69,Groceries
2025-03-02,Side Hustle Income,5135.9,Income
2025-03-02,Exxon Mobil,-17.42,Transportation
2025-03-02,Chick-fil-A,-84.67,Dining
2025-03-03,HOA Fees,-2266.16,Housing
2025-03-03,YouTube Premium,-40.81,Entertainment
2025-03-03,Student Loan Payment,-4035.83,Education
2025-03-03,Eye Doctor,-34.86,Health
2025-03-03,Local Cafe,-67.5,Dining
2025-03-04,YouTube Premium,-52.61,Entertainment
2025-03-04,Side Hustle Income,2513.71,Income
2025-03-04,Lab Tests,-141.49,Health
2025-03-05,Marriott Hotel,-812.54,Travel
2025-03-05,Dominos Pizza,-35.83,Dining
2025-03-05,Marriott Hotel,-1110.06,Travel
2025-03-05,University Tuition,-1735.87,Education
2025-03-05,IKEA,-42.98,Shopping
2025-03-05,Electric Company,-120.0,Utilities
2025-03-05,HBO Max,-50.05,Entertainment
2025-03-05,Regal Cinemas,-12.16,Entertainment
2025-03-06,Student Loan Payment,-958.31,Education
2025-03-06,Gym Membership,-12.24,Entertainment
2025-03-06,Freelance Payment,2689.71,Income
2025-03-06,Albertsons,-77.89,Groceries
2025-03-06,Textbook Store,-2657.17,Education
2025-03-06,CVS Pharmacy,-189.01,Health
2025-03-07,Udemy,-720.24,Education
2025-03-07,Chevron,-58.84,Transportation
2025-03-07,Google One Storage,-52.99,Subscriptions
2025-03-07,Cashback Reward,4981.28,Income
2025-03-07,Rent Payment,-1123.52,Housing
2025-03-08,T-Mobile,-241.48,Utilities
2025-03-08,Expedia,-1043.57,Travel
2025-03-08,Wall Street Journal,-46.32,Subscriptions
2025-03-08,Home Depot,-49.89,Shopping
2025-03-08,Coursera,-3615.36,Education
2025-03-08,Medical Clinic,-114.37,Health
2025-03-09,Natural Gas Co,-125.12,Utilities
2025-03-09,McDonalds,-53.43,Dining
2025-03-10,Apartment Maintenance,-1909.45,Housing
2025-03-10,Office Depot,-123.72,Shopping
2025-03-10,Fitness Center,-52.8,Health
2025-03-10,Comcast Internet,-89.99,Utilities
2025-03-10,Cashback Reward,5359.33,Income
2025-03-11,Steam,-23.72,Entertainment
2025-03-11,Freelance Payment,4083.93,Income
2025-03-12,Amazon Prime,-14.99,Subscriptions
2025-03-12,Google One Storage,-51.17,Subscriptions
2025-03-13,Food Lion,-37.24,Groceries
2025-03-13,Property Tax,-2270.41,Housing
2025-03-13,Costco,-63.65,Groceries
2025-03-13,Kindle Unlimited,-78.66,Subscriptions
2025-03-13,Shell Gas Station,-60.55,Transportation
2025-03-13,Spectrum Internet,-129.21,Utilities
2025-03-13,Comcast Internet,-160.29,Utilities
2025-03-14,Textbook Store,-3761.92,Education
2025-03-14,Tax Refund,5010.51,Income
2025-03-14,Eye Doctor,-68.49,Health
2025-03-14,The Cheesecake Factory,-38.25,Dining
2025-03-14,Coursera,-445.67,Education
2025-03-14,Home Insurance,-1034.36,Housing
2025-03-15,Verizon Wireless,-75.0,Utilities
2025-03-15,Local Cafe,-94.69,Dining
2025-03-15,Payroll Deposit - Company Inc,3500.0,Income
2025-03-16,Gym Membership,-10.99,Entertainment
2025-03-17,BP Gas,-74.43,Transportation
2025-03-17,Property Tax,-1982.77,Housing
2025-03-17,Disney Plus,-24.42,Entertainment
2025-03-17,Chevron,-28.18,Transportation
2025-03-17,Local Cafe,-84.42,Dining
2025-03-17,Natural Gas Co,-238.94,Utilities
2025-03-19,Lyft,-5.5,Transportation
2025-03-19,New York Times,-38.54,Subscriptions
2025-03-20,Adobe Creative Cloud,-54.99,Subscriptions
2025-03-20,AT&T,-54.0,Utilities
2025-03-21,Tax Refund,1201.78,Income
2025-03-22,Home Depot,-291.04,Shopping
2025-03-22,Bank Interest,2853.36,Income
2025-03-22,Coursera,-4287.35,Education
2025-03-22,CVS Pharmacy,-199.0,Health
2025-03-22,Dropbox Pro,-8.15,Subscriptions
2025-03-23,Dividend Payment,5283.29,Income
2025-03-23,Cashback Reward,1838.03,Income
2025-03-23,Albertsons,-101.84,Groceries
2025-03-23,Red Lobster,-60.71,Dining
2025-03-24,Tax Refund,2355.19,Income
2025-03-24,Lowes,-147.12,Shopping
2025-03-24,Car Wash,-27.25,Transportation
2025-03-24,AT&T,-216.78,Utilities
2025-03-25,Chick-fil-A,-15.32,Dining
2025-03-25,Nintendo eShop,-12.55,Entertainment
2025-03-25,Rent Payment,-2030.27,Housing
2025-03-25,Fitness Center,-152.13,Health
2025-03-26,Gym Membership,-50.06,Entertainment
2025-03-26,Staples,-20.33,Shopping
2025-03-26,Expedia,-523.52,Travel
2025-03-26,United Airlines,-1464.99,Travel
2025-03-27,Rite Aid,-43.91,Health
2025-03-27,Gift Money,2070.42,Income
2025-03-27,Trash Collection Service,-178.07,Utilities
2025-03-27,Freelance Payment,4829.38,Income
2025-03-27,Staples,-64.11,Shopping
2025-03-27,Chick-fil-A,-57.04,Dining
2025-03-27,HOA Fees,-1599.31,Housing
2025-03-28,Spectrum Internet,-204.12,Utilities
2025-03-28,Udemy,-1793.33,Education
2025-03-28,Spotify Premium,-35.09,Entertainment
2025-03-29,Walgreens,-134.19,Health
2025-03-30,Macys,-250.24,Shopping
2025-03-30,Side Hustle Income,4805.58,Income
2025-03-30,Google One Storage,-6.08,Subscriptions
2025-03-31,Walmart Supercenter,-121.66,Groceries
2025-03-31,Comcast Internet,-167.7,Utilities
2025-03-31,Cashback Reward,722.56,Income
2025-03-31,Mortgage Payment,-1996.28,Housing
2025-04-01,Eye Doctor,-76.63,Health
2025-04-01,Rent Payment,-1200.0,Housing
2025-04-01,Dominos Pizza,-47.16,Dining
2025-04-01,Rite Aid,-40.3,Health
2025-04-01,Payroll Deposit - Company Inc,3500.0,Income
2025-04-01,Netflix,-15.99,Entertainment
2025-04-01,Payroll Deposit - Company Inc,542.72,Income
2025-04-01,Gym Membership,-45.0,Entertainment
2025-04-01,Spotify Premium,-9.99,Entertainment
2025-04-01,Netflix,-22.41,Entertainment
2025-04-01,Delta Airlines,-1016.69,Travel
2025-04-02,Trader Joes,-30.71,Groceries
2025-04-02,Google One Storage,-72.43,Subscriptions
2025-04-02,Freelance Payment,1279.78,Income
2025-04-02,Target,-180.56,Shopping
2025-04-02,Apple Music,-54.66,Entertainment
2025-04-03,PlayStation Store,-39.03,Entertainment
2025-04-03,Payroll Deposit - Company Inc,5048.24,Income
2025-04-03,Natural Gas Co,-180.36,Utilities
2025-04-03,Online Course,-4256.21,Education
2025-04-03,Udemy,-3612.0,Education
2025-04-04,Cashback Reward,2532.55,Income
2025-04-04,Macys,-42.08,Shopping
2025-04-05,Thai Restaurant,-20.61,Dining
2025-04-05,Verizon Wireless,-187.65,Utilities
2025-04-05,Parking Garage,-6.95,Transportation
2025-04-05,Netflix,-47.34,Entertainment
2025-04-05,Starbucks,-11.68,Dining
2025-04-05,Electric Company,-120.0,Utilities
2025-04-06,Trash Collection Service,-183.77,Utilities
2025-04-07,Bank Interest,3343.01,Income
2025-04-07,Office Depot,-101.61,Shopping
2025-04-07,Xbox Live,-44.59,Entertainment
2025-04-07,The Cheesecake Factory,-9.32,Dining
2025-04-08,Public Transit,-59.9,Transportation
2025-04-08,United Airlines,-645.98,Travel
2025-04-08,Regal Cinemas,-25.97,Entertainment
2025-04-09,Marriott Hotel,-1356.54,Travel
2025-04-09,Medical Clinic,-56.23,Health
2025-04-09,Google One Storage,-11.87,Subscriptions
2025-04-10,Dentist Office,-56.72,Health
2025-04-10,Delta Airlines,-326.86,Travel
2025-04-10,Wegmans,-47.95,Groceries
2025-04-10,Gym Membership,-28.06,Entertainment
2025-04-10,Chipotle Mexican Grill,-63.74,Dining
2025-04-10,Comcast Internet,-89.99,Utilities
2025-04-10,Kindle Unlimited,-52.96,Subscriptions
2025-04-11,HBO Max,-29.08,Entertainment
2025-04-11,Side Hustle Income,3885.33,Income
2025-04-12,T-Mobile,-185.78,Utilities
2025-04-12,Rite Aid,-53.84,Health
2025-04-12,Olive Garden,-23.37,Dining
2025-04-12,Amazon Prime,-14.99,Subscriptions
2025-04-12,Electric Company,-243.91,Utilities
2025-04-12,Wall Street Journal,-67.25,Subscriptions
2025-04-13,IKEA,-313.17,Shopping
2025-04-13,Dentist Office,-116.39,Health
2025-04-13,Starbucks,-12.73,Dining
2025-04-13,HOA Fees,-1403.76,Housing
2025-04-14,AT&T,-107.88,Utilities
2025-04-14,Uber,-61.65,Transportation
2025-04-14,Online Course,-3174.26,Education
2025-04-15,Target,-162.83,Groceries
2025-04-15,Verizon Wireless,-75.0,Utilities
2025-04-15,HOA Fees,-1023.56,Housing
2025-04-15,Cashback Reward,5586.71,Income
2025-04-15,Parking Garage,-12.88,Transportation
2025-04-15,Payroll Deposit - Company Inc,3500.0,Income
2025-04-15,Physical Therapy,-84.84,Health
2025-04-15,Nordstrom,-21.3,Shopping
2025-04-16,Side Hustle Income,1575.61,Income
2025-04-16,Thai Restaurant,-11.25,Dining
2025-04-16,Steam,-27.68,Entertainment
2025-04-16,Audible,-69.92,Subscriptions
2025-04-16,HBO Max,-50.8,Entertainment
2025-04-16,Home Depot,-55.72,Shopping
2025-04-17,Buffalo Wild Wings,-21.52,Dining
2025-04-19,Natural Gas Co,-243.91,Utilities
2025-04-19,Metro Card,-42.81,Transportation
2025-04-20,Adobe Creative Cloud,-54.99,Subscriptions
2025-04-20,Adobe Creative Cloud,-40.06,Subscriptions
2025-04-20,McDonalds,-66.35,Dining
2025-04-20,Verizon Wireless,-203.49,Utilities
2025-04-21,Exxon Mobil,-26.18,Transportation
2025-04-22,PlayStation Store,-19.62,Entertainment
2025-04-22,Car Wash,-39.41,Transportation
2025-04-22,Google One Storage,-42.53,Subscriptions
2025-04-22,Pizza Hut,-33.4,Dining
2025-04-22,Medical Clinic,-170.02,Health
2025-04-23,PlayStation Store,-14.87,Entertainment
2025-04-23,Yoga Studio,-97.58,Health
2025-04-24,American Airlines,-870.15,Travel
2025-04-24,Wall Street Journal,-13.69,Subscriptions
2025-04-24,Spotify Premium,-36.56,Entertainment
2025-04-24,Home Insurance,-1475.68,Housing
2025-04-24,Nordstrom,-156.07,Shopping
2025-04-25,Pizza Hut,-22.38,Dining
2025-04-25,Mortgage Payment,-2499.26,Housing
2025-04-25,Apple Music,-21.07,Entertainment
2025-04-26,Eye Doctor,-74.89,Health
2025-04-26,Parking Garage,-15.84,Transportation
2025-04-26,Jiffy Lube,-68.29,Transportation
2025-04-26,Wall Street Journal,-17.75,Subscriptions
2025-04-26,Airport Parking,-42.86,Transportation
2025-04-26,Medical Clinic,-51.59,Health
2025-04-27,Home Depot,-31.52,Shopping
2025-04-27,Shell Gas Station,-37.95,Transportation
2025-04-28,Coursera,-3666.47,Education
2025-04-28,Airbnb,-1322.34,Travel
2025-04-28,Fitness Center,-40.7,Health
2025-04-28,McDonalds,-61.15,Dining
2025-04-28,Amazon Prime Video,-51.22,Entertainment
2025-04-29,Delta Airlines,-229.46,Travel
2025-04-29,Old Navy,-248.88,Shopping
2025-04-29,Textbook Store,-507.2,Education
2025-04-29,United Airlines,-432.19,Travel
2025-04-29,Walgreens,-44.6,Health
2025-04-29,HOA Fees,-2094.87,Housing
2025-04-30,Thai Restaurant,-76.21,Dining
2025-04-30,Adobe Creative Cloud,-52.74,Subscriptions
2025-04-30,Prescription Refill,-49.77,Health
2025-04-30,Dropbox Pro,-71.39,Subscriptions
2025-04-30,Nike,-71.83,Shopping
2025-04-30,Car Wash,-63.0,Transportation
2025-05-01,Rent Payment,-1200.0,Housing
2025-05-01,Gym Membership,-45.0,Entertainment
2025-05-01,Spotify Premium,-9.99,Entertainment
2025-05-01,Uber,-72.33,Transportation
2025-05-01,Netflix,-15.99,Entertainment
2025-05-01,Payroll Deposit - Company Inc,3500.0,Income
2025-05-01,Dividend Payment,4570.95,Income
2025-05-02,Macys,-188.89,Shopping
2025-05-02,Audible,-27.22,Subscriptions
2025-05-03,Adobe Creative Cloud,-35.91,Subscriptions
2025-05-03,Coursera,-806.35,Education
2025-05-03,Fitness Center,-26.13,Health
2025-05-03,New York Times,-14.17,Subscriptions
2025-05-03,Marriott Hotel,-285.53,Travel
2025-05-03,Amazon.com,-134.5,Shopping
2025-05-04,Marriott Hotel,-865.54,Travel
2025-05-04,Prescription Refill,-101.13,Health
2025-05-04,Starbucks,-18.37,Dining
2025-05-04,Eye Doctor,-92.64,Health
2025-05-05,Exxon Mobil,-14.0,Transportation
2025-05-05,Adidas,-228.17,Shopping
2025-05-05,Lab Tests,-67.15,Health
2025-05-05,Auto Repair Shop,-52.58,Transportation
2025-05-05,Coursera,-4371.47,Education
2025-05-05,Electric Company,-120.0,Utilities
2025-05-05,Airbnb,-437.01,Travel
2025-05-06,Chipotle Mexican Grill,-37.29,Dining
2025-05-07,Mortgage Payment,-1675.18,Housing
2025-05-07,HOA Fees,-1384.94,Housing
2025-05-08,Kindle Unlimited,-50.9,Subscriptions
2025-05-08,Local Cafe,-14.57,Dining
2025-05-08,Dentist Office,-175.01,Health
2025-05-08,Student Loan Payment,-966.76,Education
2025-05-08,Wall Street Journal,-59.2,Subscriptions
2025-05-09,University Tuition,-2660.83,Education
2025-05-09,Student Loan Payment,-3861.27,Education
2025-05-09,Disney Plus,-10.47,Entertainment
2025-05-09,Home Insurance,-1263.96,Housing
2025-05-10,Bank Interest,1394.81,Income
2025-05-10,Comcast Internet,-89.99,Utilities
2025-05-10,Best Buy,-245.7,Shopping
2025-05-10,Wegmans,-154.75,Groceries
2025-05-10,Tax Refund,4131.08,Income
2025-05-11,Textbook Store,-1368.74,Education
2025-05-11,University Tuition,-1457.92,Education
2025-05-11,CVS Pharmacy,-74.78,Health
2025-05-11,Coursera,-2973.29,Education
2025-05-12,Dividend Payment,1846.24,Income
2025-05-12,Amazon Prime,-14.99,Subscriptions
2025-05-12,Nintendo eShop,-43.08,Entertainment
2025-05-12,Chevron,-8.64,Transportation
2025-05-13,Freelance Payment,2991.01,Income
2025-05-13,Metro Card,-28.47,Transportation
2025-05-13,Public Transit,-48.37,Transportation
2025-05-13,Google One Storage,-62.56,Subscriptions
2025-05-14,Publix,-74.06,Groceries
2025-05-14,Trader Joes,-130.62,Groceries
2025-05-14,Walgreens,-139.04,Health
2025-05-14,Side Hustle Income,4161.03,Income
2025-05-14,Mortgage Payment,-969.98,Housing
2025-05-14,Southwest Airlines,-1367.72,Travel
2025-05-15,Expedia,-1261.05,Travel
2025-05-15,Gift Money,4162.63,Income
2025-05-15,Whole Foods Market,-162.17,Groceries
2025-05-15,Cashback Reward,5588.52,Income
2025-05-15,Metro Card,-47.74,Transportation
2025-05-15,Grubhub,-63.78,Dining
2025-05-15,Payroll Deposit - Company Inc,3500.0,Income
2025-05-15,Rent Payment,-1782.64,Housing
2025-05-15,Verizon Wireless,-75.0,Utilities
2025-05-15,HOA Fees,-1225.52,Housing
2025-05-15,Local Cafe,-93.06,Dining
2025-05-16,Airport Parking,-57.21,Transportation
2025-05-16,HOA Fees,-1203.72,Housing
2025-05-16,Lab Tests,-33.03,Health
2025-05-16,Dividend Payment,1361.14,Income
2025-05-17,Auto Repair Shop,-32.2,Transportation
2025-05-17,Trader Joes,-106.76,Groceries
2025-05-18,Lab Tests,-70.2,Health
2025-05-18,University Tuition,-4684.33,Education
2025-05-18,City Water Department,-58.2,Utilities
2025-05-18,Prescription Refill,-186.72,Health
2025-05-19,Uber Eats,-19.38,Dining
2025-05-19,Comcast Internet,-152.55,Utilities
2025-05-19,Trash Collection Service,-127.18,Utilities
2025-05-20,Google One Storage,-64.13,Subscriptions
2025-05-20,Adobe Creative Cloud,-54.99,Subscriptions
2025-05-20,Airbnb,-1361.41,Travel
2025-05-20,AT&T,-79.7,Utilities
2025-05-21,Tax Refund,2019.49,Income
2025-05-21,H&M,-250.49,Shopping
2025-05-21,Lyft,-20.87,Transportation
2025-05-21,Publix,-179.4,Groceries
2025-05-22,CVS Pharmacy,-89.22,Health
2025-05-22,Mortgage Payment,-1169.58,Housing
2025-05-22,Expedia,-846.47,Travel
2025-05-22,Staples,-56.72,Shopping
2025-05-23,Apartment Maintenance,-2114.53,Housing
2025-05-23,Verizon Wireless,-73.35,Utilities
2025-05-23,Airbnb,-941.51,Travel
2025-05-23,Rite Aid,-20.95,Health
2025-05-23,Sushi Bar,-24.12,Dining
2025-05-23,City Water Department,-165.72,Utilities
2025-05-23,Publix,-169.27,Groceries
2025-05-23,Walmart Supercenter,-71.78,Groceries
2025-05-23,Online Course,-1256.61,Education
2025-05-24,Home Depot,-223.98,Shopping
2025-05-24,H&M,-64.08,Shopping
2025-05-24,American Airlines,-800.3,Travel
2025-05-25,Physical Therapy,-23.55,Health
2025-05-25,Airport Parking,-48.7,Transportation
2025-05-25,Dividend Payment,5651.93,Income
2025-05-25,Coursera,-930.5,Education
2025-05-25,Car Wash,-73.24,Transportation
2025-05-25,Hertz Rental Car,-1179.98,Travel
2025-05-25,Southwest Airlines,-1000.7,Travel
2025-05-25,Xbox Live,-51.4,Entertainment
2025-05-25,Office Depot,-91.0,Shopping
2025-05-26,Adobe Creative Cloud,-25.49,Subscriptions
2025-05-26,Electric Company,-239.7,Utilities
2025-05-26,Publix,-123.5,Groceries
2025-05-26,Gift Money,4662.05,Income
2025-05-27,T-Mobile,-93.43,Utilities
2025-05-28,Comcast Internet,-241.64,Utilities
2025-05-28,McDonalds,-48.28,Dining
2025-05-28,Southwest Airlines,-960.01,Travel
2025-05-29,Aldi,-131.57,Groceries
2025-05-29,T-Mobile,-51.22,Utilities
2025-05-29,Apple Store,-205.72,Shopping
